BRD-K53987533	FC(F)(F)c1ccc2Sc3ccccc3N(CCCN4CCN(CCCl)CC4)c2c1
BRD-K28143534	CN1CCC(CC1)=C1c2ccccc2C=Cc2ccccc12
BRD-K31843556	[O-][N+](=O)c1ccc(Cl)c(c1)C(=O)Nc1ccncc1
BRD-K17497770	Oc1ccc(C(=O)\C=C\c2ccc(O)c(O)c2)c(O)c1
BRD-A42571354	OC(=O)COCCN1CCN(CC1)C(c1ccccc1)c1ccc(Cl)cc1
BRD-K70881766	C[C@H]1[C@H]2[C@H](C[C@H]3[C@@H]4CC=C5C[C@H](CC[C@]5(C)[C@H]4CC[C@]23C)O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O)[C@H]8O)N9C[C@@H](C)CC[C@H]19
BRD-K43978949	[O-][N+]1=C(C(=O)c2ccccc12)c1ccccn1
BRD-K72166146	CN1C[C@@H](C[C@H]2[C@H]1Cc1c[nH]c3cccc2c13)C(=O)N[C@]1(C)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O
BRD-K84639753	C[C@@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O
BRD-K97309399	CN(C)S(=O)(=O)c1ccc2Sc3ccccc3\C(=C/CCN3CCN(C)CC3)c2c1
BRD-K87696786	COc1ccc(Nc2ncnc3ccc(OC)cc23)cc1
BRD-K41564320	CC(C)[C@H](CO)Nc1nc(Nc2ccc(C(O)=O)c(Cl)c2)c2ncn(C(C)C)c2n1
BRD-K66707493	O=C1CC(=O)c2ccccc2C1=O
BRD-K05151076	CCCCCS(=O)(=O)CCCCCCCCCCn1c(c(C)c2cc(O)ccc12)-c1ccc(O)cc1
BRD-A85860691	CN1C(=O)C23CC4(C(Nc5ccccc54)N3C(=O)C1(CO)SS2)C67CC8(SSC9(CO)N(C)C8=O)N(C7Nc%10ccccc%106)C9=O
BRD-K99595596	C[C@@H]1NCCc2cc(O)c(O)cc12
BRD-K64890080	CC[C@H]1N(C2CCCC2)c2nc(Nc3ccc(cc3OC)C(=O)NC3CCN(C)CC3)ncc2N(C)C1=O
BRD-K93433262	CC(C)CCC[C@@H](C)[C@@H]1CC[C@H]2[C@@]1(C)CCC\C2=C/C=C1/C[C@@H](O)C[C@H](O)C1=C
